DATE,CUURA101SEHA
2010-01-01,309.408
2010-02-01,309.841
2010-03-01,311.085
2010-04-01,311.378
2010-05-01,311.918
2010-06-01,313.115
2010-07-01,314.997
2010-08-01,316.329
2010-09-01,316.545
2010-10-01,317.286
2010-11-01,317.192
2010-12-01,317.341
2011-01-01,316.333
2011-02-01,316.629
2011-03-01,318.089
2011-04-01,318.941
2011-05-01,319.343
2011-06-01,320.554
2011-07-01,321.621
2011-08-01,322.568
2011-09-01,322.860
2011-10-01,323.820
2011-11-01,324.090
2011-12-01,323.923
2012-01-01,324.920
2012-02-01,324.670
2012-03-01,325.323
2012-04-01,326.117
2012-05-01,327.492
2012-06-01,328.237
2012-07-01,328.979
2012-08-01,329.964
2012-09-01,330.906
2012-10-01,331.459
2012-11-01,331.472
2012-12-01,332.255
2013-01-01,332.991
2013-02-01,334.895
2013-03-01,336.693
2013-04-01,336.492
2013-05-01,337.590
2013-06-01,338.117
2013-07-01,338.450
2013-08-01,339.926
2013-09-01,340.556
2013-10-01,341.629
2013-11-01,342.262
2013-12-01,343.180
2014-01-01,344.509
2014-02-01,343.730
2014-03-01,344.819
2014-04-01,346.679
2014-05-01,347.910
2014-06-01,348.329
2014-07-01,349.097
2014-08-01,350.591
2014-09-01,350.887
2014-10-01,351.398
2014-11-01,352.808
2014-12-01,353.288
2015-01-01,353.748
2015-02-01,354.447
2015-03-01,355.451
2015-04-01,355.424
2015-05-01,357.021
2015-06-01,357.922
2015-07-01,359.322
2015-08-01,360.239
2015-09-01,363.025
2015-10-01,364.511
2015-11-01,365.524
2015-12-01,366.776
2016-01-01,367.552
2016-02-01,368.693
2016-03-01,369.185
2016-04-01,369.579
2016-05-01,370.558
2016-06-01,370.763
2016-07-01,371.871
2016-08-01,372.487
2016-09-01,373.441
2016-10-01,374.891
2016-11-01,375.539
2016-12-01,377.194
2017-01-01,377.224
2017-02-01,377.592
2017-03-01,378.523
2017-04-01,378.952
2017-05-01,380.197
2017-06-01,380.805
2017-07-01,381.149
2017-08-01,383.150
2017-09-01,383.268
2017-10-01,384.111
2017-11-01,384.611
2017-12-01,385.109
2018-01-01,385.646
2018-02-01,385.822
2018-03-01,386.926
2018-04-01,387.142
2018-05-01,387.701
2018-06-01,387.522
2018-07-01,388.214
2018-08-01,390.007
2018-09-01,389.528
2018-10-01,391.085
2018-11-01,392.388
2018-12-01,392.999
2019-01-01,394.041
2019-02-01,395.438
2019-03-01,396.754
2019-04-01,398.932
2019-05-01,399.681
2019-06-01,400.852
2019-07-01,401.406
2019-08-01,402.171
2019-09-01,403.173
2019-10-01,402.619
2019-11-01,404.275
2019-12-01,404.797
2020-01-01,405.906
2020-02-01,406.261
2020-03-01,406.933
2020-04-01,407.462
2020-05-01,407.966
2020-06-01,408.318
2020-07-01,408.845
2020-08-01,409.042
2020-09-01,409.663
2020-10-01,409.322
2020-11-01,410.546
2020-12-01,410.110
2021-01-01,409.744
2021-02-01,409.559
2021-03-01,408.227
2021-04-01,408.794
2021-05-01,408.391
2021-06-01,408.583
2021-07-01,407.857
2021-08-01,408.408
2021-09-01,409.529
2021-10-01,410.024
2021-11-01,410.245
2021-12-01,410.839
2022-01-01,412.105
2022-02-01,414.299
2022-03-01,414.021
2022-04-01,414.401
2022-05-01,415.565
2022-06-01,417.792
2022-07-01,419.087
2022-08-01,420.194
2022-09-01,422.015
2022-10-01,423.709
2022-11-01,427.047
2022-12-01,430.800
2023-01-01,433.298
2023-02-01,435.331
2023-03-01,437.855
2023-04-01,439.576
2023-05-01,440.484
2023-06-01,441.748
2023-07-01,443.416
2023-08-01,445.377
2023-09-01,447.956
2023-10-01,449.583
2023-11-01,450.553
2023-12-01,452.537
