"STATION","NAME","DATE","AWND","CLDD","DSNW","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-01","10.7","0","1","1010","1.67","1.7","32.4","39.8","25.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-02","11.6","0","5","889","5.48","32.9","33.2","39.3","27.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-03","11.2","0","0","520","10.09","0.0","48.2","56.5","40.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-04","9.2","27","0","241","2.91","0.0","57.9","68.5","47.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-05","9.2","127","0","89","3.48","0.0","66.2","76.4","56.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-06","9.4","339","0","2","2.37","0.0","76.2","85.7","66.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-07","8.5","536","0","0","1.93","0.0","82.3","92.1","72.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-08","7.6","394","0","0","2.44","0.0","77.7","85.9","69.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-09","8.9","201","0","4","3.58","0.0","71.6","80.8","62.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-10","10.1","10","0","218","3.84","0.0","58.3","67.2","49.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-11","9.4","0","0","532","1.83","0.0","47.3","55.1","39.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2010-12","12.1","0","2","995","3.88","24.5","32.9","39.3","26.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2011-01","8.7","0","7","1101","4.41","37.4","29.5","35.7","23.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2011-02","11.2","0","1","802","3.49","4.1","36.4","45.4","27.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2011-03","11.2","0","1","665","5.83","2.2","43.6","52.0","35.1",
